step,LV-hyper-dynamic-windkessel-000149 - wk/Q_Ao
2001,0
4001,-0.7877119574928315
6001,-2.175754166522381
8001,-3.12495249403355
10001,-4.034784244382195
12001,-5.20628634571807
14001,-6.283007308063304
16001,-7.280229923054549
18001,-8.395458783816423
20001,-9.484788290450297
22001,-10.51860116714209
24001,-11.62249047585107
26001,-12.71493871897178
28001,-13.74526206895155
30001,-14.82232903377678
32001,-15.931822408532529
34001,-17.03825394237413
36001,-18.26351436324813
38001,-19.69102123304367
40001,-21.33909281930357
42001,-23.27734430295436
44001,-25.48366705102723
46001,-27.8004786144237
48001,-30.11808638277103
50000,-32.42204210884836
52000,-34.72864182690216
54000,-37.04844987193923
56000,-39.33980658462843
58000,-41.55011914612317
60000,-43.714006703226
62000,-45.88854023946709
64000,-48.04640456885778
66000,-50.15869054904698
68000,-52.27291786219723
70000,-54.42063273978448
72000,-56.57973063769361
74000,-58.75785545558898
76000,-60.99754956597536
78000,-63.31391048661317
80000,-65.69374242246795
82000,-68.12383561737079
84000,-70.59218490503838
86000,-73.07771573373145
88000,-75.55891045100793
90000,-78.03624081379468
92000,-80.51274854054213
94000,-82.97061789431126
96001,-85.39312784566988
98001,-87.77451176960938
100001,-90.11878970820675
102001,-92.44501046214992
104001,-94.75224762280021
106001,-97.01666289412714
108001,-99.2473718497422
110001,-101.4663190223786
112001,-103.663391635358
114001,-105.8375736693407
116001,-108.0142747332857
118001,-110.2024711106608
120001,-112.3883505796996
122001,-114.5729200666423
124001,-116.7655198300821
126001,-118.9517362502102
128001,-121.1202463796113
130001,-123.2745966341753
132001,-125.4130488119998
134001,-127.5163511485999
136001,-129.5737257893492
138001,-131.5960058049725
140001,-133.5952157765163
142001,-135.5636878803068
144001,-137.4897579134782
146001,-139.3746320296074
148001,-141.2161787681399
150001,-143.0185845248744
152001,-144.7854082268663
154001,-146.5323411994035
156001,-148.2781119848298
158001,-150.0260015781052
160001,-151.7675165871069
162001,-153.5095821145305
164001,-155.2476612713249
166001,-156.9706243147095
168001,-158.6757468686173
170001,-160.3464861013748
172001,-161.9767663736127
174001,-163.5571400091607
176001,-165.0847601639427
178001,-166.5654514661341
180001,-168.0144630715574
182001,-169.4433435901388
184001,-170.8567332775601
186001,-172.2445390192817
188000,-173.5995186627903
190000,-174.9361664788296
192000,-176.2628218037321
198000,-180.1670134972966
200000,-181.4446953236626
202000,-182.7135859373286
204000,-183.9920614374435
206000,-185.2499446779632
208000,-186.4635557955552
210000,-187.6391151537504
212000,-188.7828096486288
214000,-189.8733809617426
216000,-190.9323814354025
218000,-191.9742278863978
220000,-192.9864540225523
222000,-193.9747730559915
224000,-194.9523771842365
226000,-195.9242677360251
228000,-196.8929628923277
230000,-197.8569695133814
232000,-198.8074415218932
234000,-199.7423857478609
236000,-200.6682190814502
238000,-201.5855346894568
240000,-202.4907121596442
242000,-203.3635435341097
244000,-204.2095367842123
246000,-205.0500193739069
248000,-205.8575104065596
250000,-206.6526351063303
252000,-207.4404848409017
254000,-208.197053923378
256000,-208.9260077712041
258000,-209.6389427867962
260000,-210.3315348006518
262000,-211.0053770449127
264000,-211.6863149023729
266000,-212.3685602827408
268000,-213.0347843362301
270000,-213.693908417234
272000,-214.3433545572293
274000,-214.9785629471168
276000,-215.5931090605279
278000,-216.2153195724059
280000,-216.8181843714123
282000,-217.4017682329676
284000,-217.9939409812448
286000,-218.5622758644712
288000,-219.107575677242
290000,-219.63745345288999
292000,-220.1652427372025
294000,-220.676284992507
296000,-221.1850541218396
298000,-221.6753253281212
300000,-222.155759767837
302000,-222.623156183559
304000,-223.0865380050773
306000,-223.5488497810678
308000,-224.0091075084649
310000,-224.46823797452
312000,-224.9133487402588
314000,-225.3514937332923
316000,-225.7849730454708
318000,-226.2157889304106
320000,-226.6311253432818
322000,-227.0468084969224
324000,-227.4488501207728
326000,-227.8340824830494
328000,-228.2022581615095
330000,-228.5717703724188
332000,-228.939655718321
334000,-229.292906637113
336000,-229.6447956512182
338000,-229.9744484947297
340000,-230.3278668750863
342000,-230.6718019758236
344000,-231.002082931262
346000,-231.3183571771305
348000,-231.6403504308084
350000,-231.9547154408852
352000,-232.2566712409113
354000,-232.5621466562566
356000,-232.8684902069966
358000,-233.1664202200656
360000,-233.4579707923368
362000,-233.7487317899445
364000,-234.0224464239427
366000,-234.29759552549
368000,-234.5595219122742
370000,-234.8091622124571
372000,-235.0535183153468
374000,-235.3170950967254
376000,-235.5648934425858
378000,-235.8488011507731
380000,-236.117115809833
382000,-236.3781945818033
384000,-236.6187921417406
386000,-236.8553798097039
388000,-237.095962491658
390000,-237.3235557127273
392000,-237.5475617427014
394000,-237.7711847283592
396000,-237.9863737322552
398000,-238.1914901853222
400000,-238.4061467541798
402000,-238.6114908992809
404000,-238.8116086364178
406000,-239.0137252789515
408000,-239.2063414200507
410000,-239.3951961752805
412000,-239.5825673148266
414000,-239.7717588122461
416000,-239.9769391330153
418000,-240.2018347796542
420000,-240.3920815533311
422000,-240.5871885741107
424000,-240.7797961348734
426000,-240.9784708207852
428000,-241.1773403933282
430000,-241.3743821523084
432000,-241.5540251002568
434000,-241.7303926826264
436000,-241.9172419685012
438000,-242.0993098429136
440000,-242.2784190723704
442000,-242.4458592188117
444000,-242.5991918085302
446000,-242.7523268553955
448000,-242.9097789548251
450000,-243.0803599399312
452000,-243.2428838062961
454000,-243.3986104813712
456000,-243.5556418686602
458000,-243.7039208695069
460000,-243.863462339533
462000,-244.0217612119966
464000,-244.1778060982358
466000,-244.3417913379164
468000,-244.4952746924045
470000,-244.64534053525
472000,-244.8353009186732
474000,-245.0038948509814
476000,-245.1494639007734
478000,-245.2875112463104
480000,-245.4223045668869
482000,-245.5596479657984
484000,-245.7049182326543
486000,-245.8414095742967
488000,-245.9822325629801
490000,-246.1241547192827
492000,-246.258264071102
494000,-246.4094209247847
496000,-246.5610685455033
